repository,rule_id,algorithm,file_path,line,arm,status,passed,partial,stages,seconds,detail
allinurl/goaccess,code-mac-01,HMAC,X:\final yaer\main projects\git help\corpus\allinurl__goaccess\src\wsauth.c,225,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",182.61,
allinurl/goaccess,code-mac-01,HMAC,X:\final yaer\main projects\git help\corpus\allinurl__goaccess\src\wsauth.c,593,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",103.47,
allinurl/goaccess,code-mac-01,HMAC,X:\final yaer\main projects\git help\corpus\allinurl__goaccess\src\wsauth.c,225,template,no-codemod,False,False,{},0.0,ValueError: Rule code-mac-01 has no codemod fallback
allinurl/goaccess,code-mac-01,HMAC,X:\final yaer\main projects\git help\corpus\allinurl__goaccess\src\wsauth.c,593,template,no-codemod,False,False,{},0.0,ValueError: Rule code-mac-01 has no codemod fallback
multica-ai/multica,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,149,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",47.28,
multica-ai/multica,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,183,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",47.81,
multica-ai/multica,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,147,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",48.14,
multica-ai/multica,code-signature-01,RSA,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,149,llm,error,False,False,{},137.03,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): Expected one of ['ML-DSA'] present, but not found. Algorithms: {'SHA-1', 'RSA'}. You removed RSA, but the replacement is not one QUBIT can detect — check the module path and the call names.. QUBIT ships no verified ML-DSA sh"
multica-ai/multica,code-signature-01,RSA,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,185,llm,error,False,False,{},134.52,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): Expected one of ['ML-DSA'] present, but not found. Algorithms: {'SHA-1', 'RSA'}. You removed RSA, but the replacement is not one QUBIT can detect — check the module path and the call names.. QUBIT ships no verified ML-DSA sh"
multica-ai/multica,code-kex-01,RSA,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,28,llm,error,False,False,{},137.55,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): Expected 'RSA' gone, but still found: ['RSA']. Your rewrite still leaves RSA in the file — check for an import, use-statement or include that you no longer call, and for another call site further down."
multica-ai/multica,code-kex-01,RSA-2048,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront_test.go,24,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",27.78,
multica-ai/multica,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,183,template,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.28,
multica-ai/multica,code-signature-01,RSA,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,149,template,no-codemod,False,False,{},0.01,ValueError: Rule code-signature-01 has no codemod fallback
multica-ai/multica,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,147,template,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.2,
multica-ai/multica,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,149,template,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.27,
multica-ai/multica,code-signature-01,RSA,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,185,template,no-codemod,False,False,{},0.0,ValueError: Rule code-signature-01 has no codemod fallback
multica-ai/multica,code-kex-01,RSA,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront.go,28,template,no-codemod,False,False,{},0.0,ValueError: Rule code-kex-01 has no codemod fallback
multica-ai/multica,code-kex-01,RSA-2048,X:\final yaer\main projects\git help\corpus\multica-ai__multica\server\internal\auth\cloudfront_test.go,24,template,no-codemod,False,False,{},0.0,ValueError: Rule code-kex-01 has no codemod fallback
TheAlgorithms/Python,py-weakhash-01,SHA-1,X:\final yaer\main projects\git help\corpus\TheAlgorithms__Python\hashes\sha1.py,135,llm,error,False,False,{},111.86,ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the file came back unchanged — the flagged algorithm was not migrated
TheAlgorithms/Python,py-weakhash-01,SHA-1,X:\final yaer\main projects\git help\corpus\TheAlgorithms__Python\hashes\sha1.py,135,template,failed,False,False,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""pass"", ""tests"": ""fail"", ""rescan"": ""pass""}",6.33,
permissionlesstech/bitchat,code-weakcipher-01,AES,X:\final yaer\main projects\git help\corpus\permissionlesstech__bitchat\bitchat\Identity\SecureIdentityStateManager.swift,275,llm,error,False,False,{},76.42,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the returned file has only 58 non-blank lines versus 773 in the original, so code was dropped or the output was truncated; return the COMPLETE file"
permissionlesstech/bitchat,code-weakcipher-01,AES,X:\final yaer\main projects\git help\corpus\permissionlesstech__bitchat\bitchat\Identity\SecureIdentityStateManager.swift,275,template,no-codemod,False,False,{},0.0,ValueError: Rule code-weakcipher-01 has no codemod fallback
usememos/memos,code-mac-01,HMAC,X:\final yaer\main projects\git help\corpus\usememos__memos\internal\webhook\webhook.go,142,llm,error,False,False,{},104.97,ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the file came back unchanged — the flagged algorithm was not migrated
usememos/memos,code-mac-01,HMAC,X:\final yaer\main projects\git help\corpus\usememos__memos\internal\webhook\webhook_test.go,130,llm,error,False,False,{},98.14,ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the file came back unchanged — the flagged algorithm was not migrated
usememos/memos,code-mac-01,HMAC,X:\final yaer\main projects\git help\corpus\usememos__memos\internal\webhook\webhook_test.go,130,template,no-codemod,False,False,{},0.0,ValueError: Rule code-mac-01 has no codemod fallback
usememos/memos,code-mac-01,HMAC,X:\final yaer\main projects\git help\corpus\usememos__memos\internal\webhook\webhook.go,142,template,no-codemod,False,False,{},0.0,ValueError: Rule code-mac-01 has no codemod fallback
conductor-oss/conductor,code-signature-01,RS256,X:\final yaer\main projects\git help\corpus\conductor-oss__conductor\ui-next\src\types\TaskType.ts,340,llm,error,False,False,{},283.77,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): Expected one of ['ML-DSA'] present, but not found. Algorithms: set(). You removed RS256, but the replacement is not one QUBIT can detect — check the module path and the call names. QUBIT recognises it from code shaped like t"
conductor-oss/conductor,code-signature-01,RS256,X:\final yaer\main projects\git help\corpus\conductor-oss__conductor\ui-next\e2e\integration\workflow-system-task-forms.spec.ts,153,llm,error,False,False,{},133.39,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): Expected one of ['ML-DSA'] present, but not found. Algorithms: set(). You removed RS256, but the replacement is not one QUBIT can detect — check the module path and the call names. QUBIT recognises it from code shaped like t"
conductor-oss/conductor,code-kex-01,RSA,X:\final yaer\main projects\git help\corpus\conductor-oss__conductor\test-harness\src\test\java\com\netflix\conductor\test\config\FakeGcsFileStorageConfiguration.java,56,llm,error,False,False,{},83.36,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): Expected one of ['ML-KEM'] present, but not found. Algorithms: {'PII: email address'}. You removed RSA, but the replacement is not one QUBIT can detect — check the module path and the call names. QUBIT recognises it from cod"
conductor-oss/conductor,code-signature-01,RS256,X:\final yaer\main projects\git help\corpus\conductor-oss__conductor\ui-next\src\types\TaskType.ts,340,template,no-codemod,False,False,{},0.0,ValueError: Rule code-signature-01 has no codemod fallback
conductor-oss/conductor,code-signature-01,RS256,X:\final yaer\main projects\git help\corpus\conductor-oss__conductor\ui-next\e2e\integration\workflow-system-task-forms.spec.ts,153,template,no-codemod,False,False,{},0.0,ValueError: Rule code-signature-01 has no codemod fallback
conductor-oss/conductor,code-kex-01,RSA,X:\final yaer\main projects\git help\corpus\conductor-oss__conductor\test-harness\src\test\java\com\netflix\conductor\test\config\FakeGcsFileStorageConfiguration.java,56,template,no-codemod,False,False,{},0.01,ValueError: Rule code-kex-01 has no codemod fallback
JetBrains/compose-multiplatform,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\JetBrains__compose-multiplatform\gradle-plugins\compose\src\main\kotlin\org\jetbrains\compose\desktop\application\internal\files\fileUtils.kt,31,llm,failed,False,True,"{""applies"": ""fail"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",24.98,
JetBrains/compose-multiplatform,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\JetBrains__compose-multiplatform\gradle-plugins\compose\src\main\kotlin\org\jetbrains\compose\desktop\application\internal\files\fileUtils.kt,31,template,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.33,
fruitcake/laravel-debugbar,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\fruitcake__laravel-debugbar\src\DataCollector\GateCollector.php,132,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""pass"", ""tests"": ""skipped"", ""rescan"": ""pass""}",29.66,
fruitcake/laravel-debugbar,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\fruitcake__laravel-debugbar\src\DataCollector\QueryCollector.php,377,llm,error,False,False,{},198.14,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the returned file has only 346 non-blank lines versus 583 in the original, so code was dropped or the output was truncated; return the COMPLETE file"
fruitcake/laravel-debugbar,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\fruitcake__laravel-debugbar\src\DataCollector\GateCollector.php,132,template,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""pass"", ""tests"": ""skipped"", ""rescan"": ""pass""}",4.56,
fruitcake/laravel-debugbar,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\fruitcake__laravel-debugbar\src\DataCollector\QueryCollector.php,377,template,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""pass"", ""tests"": ""skipped"", ""rescan"": ""pass""}",4.17,
starship/starship,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\starship__starship\src\modules\aws.rs,172,llm,error,False,False,{},39.69,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the returned file has only 23 non-blank lines versus 1102 in the original, so code was dropped or the output was truncated; return the COMPLETE file"
starship/starship,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\starship__starship\src\modules\pulumi.rs,171,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",102.75,
starship/starship,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\starship__starship\src\modules\pulumi.rs,171,template,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.59,
starship/starship,code-weakhash-02,SHA-1,X:\final yaer\main projects\git help\corpus\starship__starship\src\modules\aws.rs,172,template,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.62,
withastro/astro,code-weakcipher-01,AES,X:\final yaer\main projects\git help\corpus\withastro__astro\packages\astro\test\server-islands.test.ts,17,llm,error,False,False,{},234.58,ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the file came back unchanged — the flagged algorithm was not migrated
withastro/astro,code-weakcipher-01,AES,X:\final yaer\main projects\git help\corpus\withastro__astro\packages\astro\test\csp-server-islands.test.ts,15,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""skipped"", ""tests"": ""skipped"", ""rescan"": ""pass""}",41.89,
withastro/astro,code-weakcipher-01,AES,X:\final yaer\main projects\git help\corpus\withastro__astro\packages\astro\test\server-islands.test.ts,17,template,no-codemod,False,False,{},0.0,ValueError: Rule code-weakcipher-01 has no codemod fallback
withastro/astro,code-weakcipher-01,AES,X:\final yaer\main projects\git help\corpus\withastro__astro\packages\astro\test\csp-server-islands.test.ts,15,template,no-codemod,False,False,{},0.0,ValueError: Rule code-weakcipher-01 has no codemod fallback
mpv-player/mpv,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\mpv-player__mpv\ci\build-mingw64.sh,111,llm,failed,False,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""fail"", ""tests"": ""skipped"", ""rescan"": ""pass""}",92.41,
mpv-player/mpv,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\mpv-player__mpv\ci\build-mingw64.sh,111,template,failed,False,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""fail"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.88,
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\network\config\wifi-scripts\files\lib\netifd\hostapd.sh,746,llm,error,False,False,{},45.8,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the returned file has only 1 non-blank lines versus 1434 in the original, so code was dropped or the output was truncated; return the COMPLETE file"
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\wrg.c,95,llm,error,False,False,{},0.0,ValueError: already remediated by an earlier task in this plan
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\md5.c,172,llm,error,False,False,{},0.0,ValueError: already remediated by an earlier task in this plan
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\seama.c,78,llm,error,False,False,{},0.01,ValueError: already remediated by an earlier task in this plan
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\wrg.c,96,llm,error,False,False,{},0.0,ValueError: already remediated by an earlier task in this plan
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\base-files\files\lib\functions\network.sh,33,llm,error,False,False,{},185.28,"ValueError: LLM generation failed: LLM rewrite rejected after 3 attempt(s): the returned file has unbalanced '()' brackets, which means it was truncated; return the COMPLETE file"
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\kernel\lantiq\ltq-vdsl-fw\src\vdsl_fw_install.sh,28,llm,proposed,True,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""pass"", ""tests"": ""skipped"", ""rescan"": ""pass""}",20.3,
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\seama.c,77,llm,error,False,False,{},0.0,ValueError: already remediated by an earlier task in this plan
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\seama.c,78,template,error,False,False,{},0.01,"ValueError: nothing left for weakhash_to_sha256 to change in seama.c — either this file was already remediated by an earlier task in this plan, or it already meets the target."
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\network\config\wifi-scripts\files\lib\netifd\hostapd.sh,746,template,failed,False,True,"{""applies"": ""pass"", ""parses"": ""pass"", ""compiles"": ""fail"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.86,
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\wrg.c,95,template,error,False,False,{},0.0,"ValueError: nothing left for weakhash_to_sha256 to change in wrg.c — either this file was already remediated by an earlier task in this plan, or it already meets the target."
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\base-files\files\lib\functions\network.sh,33,template,failed,False,True,"{""applies"": ""pass"", ""parses"": ""skipped"", ""compiles"": ""fail"", ""tests"": ""skipped"", ""rescan"": ""pass""}",3.75,
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\seama.c,77,template,error,False,False,{},0.02,"ValueError: nothing left for weakhash_to_sha256 to change in seama.c — either this file was already remediated by an earlier task in this plan, or it already meets the target."
openwrt/openwrt,code-weakhash-02,MD5,X:\final yaer\main projects\git help\corpus\openwrt__openwrt\package\system\mtd\src\md5.c,172,template,error,False,False,{},0.0,"ValueError: nothing left for weakhash_to_sha256 to change in md5.c — either this file was already remediated by an earlier task in this plan, or it already meets the target."
