layer,component,technology,version,role
"Interface","Desktop shell","Tauri","2.x","native Windows window over a local engine"
"Interface","Dashboard","React + TypeScript","UNKNOWN","bundled into the shell, not served over a network"
"Interface","Command line","Typer","0.27.0","scriptable entry point"
"Service","HTTP engine","FastAPI","0.139.2","bound to 127.0.0.1, bearer auth, rate limited"
"Service","ASGI server","uvicorn","0.51.0","single local process"
"Engine","Source parsing","tree-sitter","0.25.2","AST queries over 19 grammars"
"Engine","Certificates / TLS","cryptography","49.0.0","X.509 parsing and handshake primitives"
"Engine","Transformation","Ollama (qwen2.5-coder:7b)","UNKNOWN","local inference, greedy decoding, no network egress"
"Engine","Dependency graph","networkx","3.6.1","migration ordering over unit dependencies"
"Foundation","ORM","SQLAlchemy","2.0.51","12 tables, single metadata"
"Foundation","Migrations","Alembic","1.18.5","versioned schema"
"Foundation","Storage","SQLite (WAL)","UNKNOWN","one file, no server"
"Foundation","Validation","Pydantic","2.13.4","frozen CryptoAsset schema"
"Foundation","Reports","reportlab","5.0.0","pure Python, no system libraries"
"Evidence","Figures","matplotlib","3.11.1","vector SVG, Okabe-Ito"
"Evidence","Statistics","scipy","1.18.0","exact McNemar, Wilson, log-linear fits"
